Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard,version_tag
0.7389888659866463,0.5764705882352942,0.9015071437379983,0.6461038961038961,0.8881172839506174,0.7671105900272567,0.53410566263857,0.8890133831310302,0.7115595228848001,0.7389888659866463,0.09849285626200166,0.35389610389610393,0.4235294117647059,0.11188271604938271,0.3806818181818182,teacher_model_sample_size_5172_20_100_20_fold_4_SB-022-20_25_100_1000_IND_FOLD_2_SVM
0.6001466624385603,0.2565359477124183,0.9437573771647023,0.5444444444444444,0.824817110134129,0.6846307772892867,0.3460939931528167,0.880227575673269,0.6131607844130428,0.6001466624385604,0.056242622835297636,0.45555555555555555,0.7434640522875817,0.17518288986587094,0.22023809523809523,teacher_model_sample_size_5172_20_100_20_fold_5_SB-022-20_25_100_1000_IND_FOLD_3_SVM
0.5845704948646125,0.18104575163398695,0.9880952380952381,0.8333333333333334,0.8145833333333333,0.8239583333333332,0.29444444444444445,0.8925384765244496,0.5934914604844471,0.5845704948646125,0.011904761904761904,0.16666666666666666,0.8189542483660132,0.18541666666666667,0.17310924369747901,teacher_model_sample_size_5172_20_100_20_fold_4_SB-022-20_20_100_1000_IND_FOLD_1_SVM
0.6719249334954108,0.5160130718954248,0.8278367950953966,0.46428571428571425,0.8726145439260193,0.6684501291058668,0.4698987612400176,0.8457468457468457,0.6578228034934317,0.6719249334954108,0.17216320490460335,0.5357142857142857,0.4839869281045752,0.12738545607398066,0.3138586956521739,teacher_model_sample_size_5186_20_100_20_fold_3_SB-022-20_30_100_1000_IND_FOLD_3_SVM
0.5775392861547134,0.16732026143790849,0.9877583108715183,0.6,0.8143891159282951,0.7071945579641475,0.26031746031746034,0.8926057296554974,0.5764615949864789,0.5775392861547134,0.012241689128481581,0.39999999999999997,0.8326797385620915,0.18561088407170498,0.16176470588235295,teacher_model_sample_size_5186_20_100_20_fold_3_SB-022-20_20_100_1000_IND_FOLD_3_SVM
0.6988110653066258,0.5006535947712418,0.8969685358420098,0.6044444444444443,0.870967741935484,0.737706093189964,0.45914237218585047,0.874300009198047,0.6667211906919487,0.6988110653066258,0.10303146415799025,0.3955555555555555,0.4993464052287582,0.12903225806451613,0.30860681114551086,teacher_model_sample_size_5224_20_100_20_fold_2_SB-022-20_25_100_1000_IND_FOLD_2_SVM
0.7954481792717086,0.6604575163398693,0.930438842203548,0.7807692307692308,0.9103245570458686,0.8455468939075496,0.6863554463554463,0.9185501290764448,0.8024527877159456,0.7954481792717086,0.06956115779645192,0.21923076923076923,0.3395424836601307,0.08967544295413148,0.5236111111111111,teacher_model_sample_size_5172_20_100_20_fold_5_SB-022-20_20_100_1000_IND_FOLD_1_SVM
0.7712418300653594,0.5490196078431372,0.9934640522875817,0.9722222222222222,0.8891534391534391,0.9306878306878307,0.6862068965517242,0.9379632613599743,0.8120850789558491,0.7712418300653594,0.006535947712418301,0.027777777777777776,0.45098039215686275,0.11084656084656085,0.5370370370370371,teacher_model_sample_size_5224_20_100_20_fold_2_SB-022-20_30_100_1000_IND_FOLD_1_SVM
0.6275910364145658,0.33431372549019606,0.9208683473389355,0.6928104575163397,0.8355216274890088,0.7641660425026743,0.3564323607427056,0.871957896724252,0.6141951287334787,0.6275910364145658,0.07913165266106442,0.30718954248366015,0.6656862745098039,0.16447837251099107,0.22828282828282828,teacher_model_sample_size_5182_20_100_20_fold_1_SB-022-20_25_100_1000_IND_FOLD_2_SVM
0.5473856209150327,0.09477124183006536,1.0,0.6666666666666666,0.8002079619726677,0.7334373143196672,0.16541353383458646,0.8886202388437857,0.5270168863391862,0.5473856209150327,0.0,0.0,0.9052287581699346,0.19979203802733214,0.09477124183006536,teacher_model_sample_size_5172_20_100_20_fold_5_SB-022-20_25_100_1000_IND_FOLD_1_SVM
0.7902042263446258,0.799673202614379,0.7807352500748727,0.5472756410256411,0.9378306878306878,0.7425531644281644,0.6192863110156342,0.8452583606468002,0.7322723358312171,0.7902042263446258,0.21926474992512726,0.452724358974359,0.2003267973856209,0.06216931216931216,0.4495279593318809,teacher_model_sample_size_5172_20_100_20_fold_5_SB-022-20_30_100_1000_IND_FOLD_2_SVM
0.5971055088702147,0.24183006535947713,0.9523809523809524,0.5,0.8212275725445174,0.6606137862722586,0.22751322751322753,0.8764429088003819,0.5519780681568047,0.5971055088702147,0.047619047619047616,0.16666666666666666,0.7581699346405228,0.17877242745548275,0.15294117647058825,teacher_model_sample_size_5224_20_100_20_fold_2_SB-022-20_20_100_1000_IND_FOLD_2_SVM
0.6300836372284763,0.30392156862745096,0.9562457058295015,0.6444444444444445,0.835855241861916,0.7401498431531802,0.41000103745201777,0.8919460245206978,0.6509735309863577,0.6300836372284763,0.043754294170498385,0.35555555555555557,0.6960784313725491,0.16414475813808405,0.2652777777777778,teacher_model_sample_size_5172_20_100_20_fold_4_SB-022-20_30_100_1000_IND_FOLD_3_SVM
0.7177703785916881,0.5316993464052288,0.9038414107781477,0.7050000000000001,0.87849144825889,0.791745724129445,0.5181981981981982,0.8819791578412267,0.7000886780197124,0.7177703785916881,0.09615858922185226,0.295,0.4683006535947712,0.12150855174110986,0.353988603988604,teacher_model_sample_size_5172_20_100_20_fold_4_SB-022-20_20_100_1000_IND_FOLD_2_SVM
